Mon Oct 17 22:08:30 SGT 2022,Clone529,0,0,culprit not found for any combination of statements,0,126,public void run () {,public void run () {,
Mon Oct 17 22:10:25 SGT 2022,Clone468,0,0,found culprit,1,2,public static void main (String args []) throws IOException {,public static void main (String [] args) throws UnknownHostException; IOException {,InetAddress inet; 
Mon Oct 17 22:33:29 SGT 2022,Clone19,0,0,culprit not found for any combination of statements,0,126,public void serialize (Object value; JsonGenerator jgen; SerializerProvider provider) throws IOException {,public void serialize (final Object bean; final JsonGenerator jgen; final SerializerProvider provider) throws IOException; JsonGenerationException {,
Tue Oct 18 01:55:56 SGT 2022,Clone916,0,1,complete method minus codeparts include culprit(s) maybe braces,0,0,public static String toHexString (byte [] bytes) {,public static String toHexString (byte [] bytes) {,
Tue Oct 18 01:58:43 SGT 2022,Clone463,0,0,found culprit,1,4,public static String generateRandomPassword (int length) {,public String generateRandomPassword (final int length) {,for([int idx=0] idx < buf.length [++idx]) 
Tue Oct 18 02:49:12 SGT 2022,Clone13,0,0,culprit not found for any combination of statements,0,30,public int countLines (String filename) throws IOException {,public static int countLines (File input) throws IOException {,
Tue Oct 18 02:51:59 SGT 2022,Clone944,0,0,found culprit,2,14,public static void main (String [] args) throws Exception {,public static void main (String [] args) throws IOException {,BufferedReader br=new BufferedReader(new InputStreamReader(System.in)); System.out.print("Enter String"); 
Tue Oct 18 02:52:51 SGT 2022,Clone934,0,0,found culprit,1,1,public static void listFilesForFolder (final File folder) {,public static void listFilesForFolder (final File folder) {,public static void listFilesForFolder (final File folder) { 
Tue Oct 18 03:15:14 SGT 2022,Clone18,0,0,culprit not found for any combination of statements,0,126,public void serialize (Object value; JsonGenerator jgen; SerializerProvider provider) throws IOException {,public void serialize (Test value; JsonGenerator jgen; SerializerProvider provider) throws IOException; JsonProcessingException {,
Tue Oct 18 04:12:23 SGT 2022,Clone506,0,0,culprit not found for any combination of statements,0,254,public void displayImage (String strfilename; JLabel label) {,public void displayImage (String strfilename; JLabel JLlabel) {,
Tue Oct 18 05:17:37 SGT 2022,Clone20,0,0,found culprit,3,29,public void serialize (Test value; JsonGenerator jgen; SerializerProvider provider) throws IOException; JsonProcessingException {,public void serialize (final Object bean; final JsonGenerator jgen; final SerializerProvider provider) throws IOException; JsonGenerationException {,public void serialize (final Object bean, final JsonGenerator jgen, final SerializerProvider provider) throws IOException, JsonGenerationException { jgen.writeStartObject(); if(_propertyFilterId != null) 
Tue Oct 18 05:28:46 SGT 2022,Clone822,0,0,culprit not found for any combination of statements,0,14,public void filter (String [] words; BufferedReader reader) throws IOException {,public void filter (String [] words; String text) {,
Tue Oct 18 06:59:32 SGT 2022,Clone343,0,0,culprit not found for any combination of statements,0,510,public static void main (String [] args) {,public static void main (String [] args) {,
Sun Dec 11 11:23:58 SGT 2022,Clone399,0,0,found culprit,5,186,public void contextDestroyed (ServletContextEvent servletContextEvent) {,public void contextDestroyed (ServletContextEvent sce) {,public void contextDestroyed (ServletContextEvent sce) { Context envContext=(Context)initContext.lookup("java:/comp/env"); DataSource datasource=(DataSource)envContext.lookup("jdbc/database"); DriverManager.deregisterDriver(mySqlDriver); logger.info("Could not deregister driver:".concat(ex.getMessage())); 
Sun Dec 11 13:41:36 SGT 2022,Clone0,0,0,culprit not found for any combination of statements,0,254,public static BufferedImage scale (BufferedImage imageToScale; int dWidth; int dHeight) {,public static BufferedImage scale (BufferedImage sbi; int imageType; int dWidth; int dHeight; double fWidth; double fHeight) {,
Sun Dec 11 13:58:05 SGT 2022,Clone557,0,0,found culprit,3,94,public void actionPerformed (ActionEvent arg0) {,public void actionPerformed (ActionEvent arg0) {,if(!dirty) JFileChooser ch=getFileChooser(); BufferedImage bi=ImageIO.read(ch.getSelectedFile()); 
Sun Dec 11 14:02:12 SGT 2022,Clone612,0,0,found culprit,3,22,public static void main (String [] args) throws IOException {,public static void main (String [] args) {,public static void main (String [] args) { Robot robot=new Robot(); BufferedImage bi=robot.createScreenCapture(new Rectangle(Toolkit.getDefaultToolkit().getScreenSize())); 
Sun Dec 11 14:57:12 SGT 2022,Clone198,0,0,culprit not found for any combination of statements,0,254,public Command deserialize (JsonElement json; Type typeOfT; JsonDeserializationContext context) throws JsonParseException {,public IAnimal deserialize (JsonElement json; Type typeOfT; JsonDeserializationContext context) throws JsonParseException {,
Sun Dec 11 15:38:26 SGT 2022,Clone911,0,0,found culprit,5,170,public static final String deriveCurveName (org.bouncycastle.jce.spec.ECParameterSpec ecParameterSpec) throws GeneralSecurityException {,public static final String deriveCurveName (PublicKey publicKey) throws GeneralSecurityException {,public static final String deriveCurveName (PublicKey publicKey) throws GeneralSecurityException { if(publicKey instanceof java.security.interfaces.ECPublicKey) final java.security.interfaces.ECPublicKey pk=(java.security.interfaces.ECPublicKey)publicKey; if(publicKey instanceof org.bouncycastle.jce.interfaces.ECPublicKey) final org.bouncycastle.jce.interfaces.ECPublicKey pk=(org.bouncycastle.jce.interfaces.ECPublicKey)publicKey; 
Sun Dec 11 16:43:21 SGT 2022,Clone633,0,0,found culprit,2,23,public static void main (String [] args) throws Exception {,public static void main (String [] args) throws IOException {,ZipOutputStream zos=new ZipOutputStream(new FileOutputStream(new File("big.jar"))); zos.putNextEntry(new ZipEntry("largeFile.out")); 
Sun Dec 11 18:38:36 SGT 2022,Clone558,0,0,found culprit,4,267,public void actionPerformed (ActionEvent arg0) {,public void actionPerformed (ActionEvent e) {,JFileChooser ch=getFileChooser(); int result=ch.showSaveDialog(gui); File f=ch.getSelectedFile(); BasicPaint.this.originalImage=BasicPaint.this.canvasImage; 
Sun Dec 11 20:25:08 SGT 2022,Clone561,0,0,found culprit,3,106,public void actionPerformed (ActionEvent ae) {,public void actionPerformed (ActionEvent e) {,JFileChooser ch=getFileChooser(); File f=ch.getSelectedFile(); BasicPaint.this.originalImage=BasicPaint.this.canvasImage; 
Sun Dec 11 22:15:41 SGT 2022,Clone363,0,0,culprit not found for any combination of statements,0,126,public static void main (String...argv) throws ClassNotFoundException {,public static void main (String [] args) {,
Mon Dec 12 00:26:25 SGT 2022,Clone307,0,0,found culprit,3,135,public String inputStreamToString (InputStream inputStream) throws IOException {,public String inputStreamToString (InputStream inputStream) throws IOException {,BufferedReader reader=new BufferedReader(new InputStreamReader(inputStream)); while((line=reader.readLine()) != null) result.append(flag ? newLine : "").append(line); 
Mon Dec 12 03:28:11 SGT 2022,Clone852,0,0,culprit not found for any combination of statements,0,1022,public static void main (String [] args) throws Exception {,public static void main (String [] s) throws VTDException {,
Tue Dec 13 02:57:09 SGT 2022,Clone399,0,0,found culprit,5,186,public void contextDestroyed (ServletContextEvent servletContextEvent) {,public void contextDestroyed (ServletContextEvent sce) {,public void contextDestroyed (ServletContextEvent sce) { Context envContext=(Context)initContext.lookup("java:/comp/env"); DataSource datasource=(DataSource)envContext.lookup("jdbc/database"); DriverManager.deregisterDriver(mySqlDriver); logger.info("Could not deregister driver:".concat(ex.getMessage())); 
